cv_text,quiz_q1,quiz_q2,quiz_q3,quiz_q4,quiz_q5,personality_label,job_role_label
"Project manager with expertise in Scrum, stakeholder management, and Agile.",1,4,1,2,2,Creative,Project Manager
"Software engineer with experience in Java, Python, and cloud computing.",4,4,4,2,3,Openness,Software Engineer
"Professional in SEO, experienced in branding and digital campaigns.",3,1,4,2,3,Extraverted,Marketing Manager
"Project manager with expertise in stakeholder management, Agile, and Scrum.",4,4,1,3,2,Introverted,Project Manager
Expert in risk assessment with hands-on experience in network security and ethical hacking.,4,1,3,4,4,Creative,Cybersecurity Analyst
"Experienced in data visualization, with skills in machine learning and SQL.",1,4,2,2,4,Openness,Data Analyst
"Business analyst skilled in process improvement, requirement gathering, and data modeling.",1,3,3,3,4,Creative,Business Analyst
"Professional in digital campaigns, experienced in branding and SEO.",1,2,4,2,3,Extraverted,Marketing Manager
"Experienced in HR policies, with knowledge of employee engagement and recruitment.",4,4,1,1,3,Introverted,HR Specialist
"Experienced in process improvement, with knowledge of data modeling and requirement gathering.",2,4,1,4,2,Creative,Business Analyst
"Cybersecurity analyst skilled in risk assessment, ethical hacking, and network security.",3,1,2,1,1,Openness,Cybersecurity Analyst
"Project manager with expertise in Scrum, Agile, and stakeholder management.",2,3,4,4,4,Analytical,Project Manager
"Proven track record in CRM, with expertise in client management and negotiation.",4,4,4,2,1,Extraverted,Sales Executive
"Software engineer with experience in cloud computing, Python, and Java.",3,2,2,2,2,Introverted,Software Engineer
"Software engineer with experience in Java, cloud computing, and Python.",4,3,1,2,4,Extraverted,Software Engineer
"Graphic designer experienced in Adobe Photoshop, UX/UI design, and Illustrator.",1,1,1,2,3,Introverted,Graphic Designer
"Graphic designer experienced in UX/UI design, Adobe Photoshop, and Illustrator.",1,4,3,1,2,Conscientious,Graphic Designer
"Proven track record in negotiation, with expertise in client management and CRM.",4,3,2,1,1,Conscientious,Sales Executive
"Cybersecurity analyst skilled in network security, risk assessment, and ethical hacking.",4,4,2,2,2,Conscientious,Cybersecurity Analyst
"Experienced in requirement gathering, with knowledge of data modeling and process improvement.",1,3,3,1,3,Introverted,Business Analyst
"Experienced in SQL, with skills in machine learning and data visualization.",2,4,4,1,3,Openness,Data Analyst
"Experienced in SQL, with skills in machine learning and data visualization.",4,4,1,3,2,Introverted,Data Analyst
"Sales executive with strong skills in client management, CRM, and negotiation.",4,1,4,3,1,Introverted,Sales Executive
"Specialist in UX/UI design, with skills in Adobe Photoshop and Illustrator.",4,4,3,4,2,Analytical,Graphic Designer
"AI researcher with expertise in natural language processing, computer vision, and deep learning.",4,2,1,4,1,Extraverted,AI Researcher
Expert in ethical hacking with hands-on experience in network security and risk assessment.,3,1,2,1,1,Openness,Cybersecurity Analyst
"AI researcher with expertise in deep learning, computer vision, and natural language processing.",2,4,1,4,4,Creative,AI Researcher
Expert in network security with hands-on experience in risk assessment and ethical hacking.,4,4,3,1,1,Openness,Cybersecurity Analyst
Expert in ethical hacking with hands-on experience in risk assessment and network security.,3,2,4,1,2,Introverted,Cybersecurity Analyst
"AI researcher with expertise in computer vision, natural language processing, and deep learning.",1,1,4,3,2,Openness,AI Researcher
"Developer skilled in Java, Python, and cloud computing.",2,3,2,3,1,Introverted,Software Engineer
"Cybersecurity analyst skilled in network security, ethical hacking, and risk assessment.",1,3,2,2,2,Openness,Cybersecurity Analyst
"Data analyst proficient in machine learning, SQL, and data visualization.",2,4,3,3,2,Extraverted,Data Analyst
"Business analyst skilled in requirement gathering, data modeling, and process improvement.",4,2,4,2,2,Analytical,Business Analyst
"Marketing manager with focus on branding, SEO, and digital campaigns.",2,1,2,3,3,Creative,Marketing Manager
"AI researcher with expertise in deep learning, natural language processing, and computer vision.",1,2,1,1,4,Introverted,AI Researcher
"Project manager with expertise in Scrum, Agile, and stakeholder management.",1,4,3,1,2,Extraverted,Project Manager
"Sales executive with strong skills in client management, negotiation, and CRM.",2,1,3,4,2,Analytical,Sales Executive
"Sales executive with strong skills in negotiation, client management, and CRM.",1,4,2,2,4,Extraverted,Sales Executive
"Marketing manager with focus on digital campaigns, branding, and SEO.",2,2,4,2,3,Introverted,Marketing Manager
"Software engineer with experience in cloud computing, Python, and Java.",1,3,3,1,3,Analytical,Software Engineer
"Graphic designer experienced in Illustrator, Adobe Photoshop, and UX/UI design.",4,2,2,3,4,Conscientious,Graphic Designer
"Developer skilled in Java, cloud computing, and Python.",2,1,2,4,2,Extraverted,Software Engineer
"Experienced in data modeling, with knowledge of process improvement and requirement gathering.",4,2,3,1,2,Conscientious,Business Analyst
"Marketing manager with focus on digital campaigns, branding, and SEO.",1,3,3,2,2,Conscientious,Marketing Manager
"AI researcher with expertise in deep learning, natural language processing, and computer vision.",3,4,1,3,2,Openness,AI Researcher
"Experienced in data modeling, with knowledge of process improvement and requirement gathering.",4,1,2,2,3,Introverted,Business Analyst
"Marketing manager with focus on branding, SEO, and digital campaigns.",3,2,3,1,3,Creative,Marketing Manager
"Developer skilled in cloud computing, Java, and Python.",2,1,4,3,2,Analytical,Software Engineer
"HR professional skilled in HR policies, recruitment, and employee engagement.",1,4,2,3,1,Analytical,HR Specialist
"Project manager with expertise in stakeholder management, Agile, and Scrum.",2,4,2,1,1,Openness,Project Manager
"Software engineer with experience in cloud computing, Java, and Python.",4,4,1,4,1,Conscientious,Software Engineer
"Proven track record in CRM, with expertise in negotiation and client management.",3,1,1,1,1,Conscientious,Sales Executive
"Experienced in data modeling, with knowledge of process improvement and requirement gathering.",2,2,2,1,2,Extraverted,Business Analyst
"Experienced in employee engagement, with knowledge of recruitment and HR policies.",2,3,2,1,1,Analytical,HR Specialist
"Sales executive with strong skills in client management, CRM, and negotiation.",4,2,4,4,2,Openness,Sales Executive
"Experienced in process improvement, with knowledge of requirement gathering and data modeling.",2,3,3,4,3,Creative,Business Analyst
"Developer skilled in Java, cloud computing, and Python.",2,3,4,4,1,Analytical,Software Engineer
"Experienced in process improvement, with knowledge of data modeling and requirement gathering.",2,3,4,4,2,Openness,Business Analyst
"Sales executive with strong skills in negotiation, CRM, and client management.",4,1,3,1,4,Analytical,Sales Executive
"Project manager with expertise in Agile, stakeholder management, and Scrum.",3,4,4,4,3,Analytical,Project Manager
"Experienced in requirement gathering, with knowledge of process improvement and data modeling.",4,1,2,3,2,Creative,Business Analyst
