cv_text,quiz_q1,quiz_q2,quiz_q3,quiz_q4,quiz_q5,personality_label,job_role_label
"Quantity surveyor with expertise in DevOps, APIs, cloud computing.",2,3,2,2,1,Openness,Software Engineer
"Rural practice surveyor with expertise in firewall, network security, incident response.",2,1,3,1,1,Analytical,Cybersecurity Analyst
"Conservation officer, nature with expertise in statistics, machine learning, data visualization.",2,2,2,3,2,Openness,Data Analyst
"Designer, graphic with expertise in benefits management, talent acquisition, onboarding.",4,3,4,4,2,Extraverted,HR Manager
"Financial risk analyst with expertise in deep learning, data mining, Python.",3,2,4,4,3,Openness,Data Scientist
"Radiographer, diagnostic with expertise in budgeting, Scrum, stakeholder management.",1,1,2,2,1,Introverted,Project Manager
"Illustrator with expertise in benefits management, employee engagement, HRIS.",1,3,3,4,2,Extraverted,HR Manager
"Information systems manager with expertise in onboarding, employee engagement, HRIS.",4,1,2,2,3,Extraverted,HR Manager
"Politician's assistant with expertise in risk management, Excel, forecasting.",4,2,3,1,4,Analytical,Financial Analyst
"Adult nurse with expertise in SEO, branding, customer engagement.",2,1,4,2,4,Extraverted,Marketing Manager
"Therapist, art with expertise in Adobe Creative Suite, wireframing, prototyping.",3,3,4,4,3,Creative,Graphic Designer
"Civil Service fast streamer with expertise in risk assessment, firewall, incident response.",3,3,4,4,4,Analytical,Cybersecurity Analyst
"Therapist, speech and language with expertise in prototyping, Adobe Creative Suite, branding.",2,4,2,2,2,Creative,Graphic Designer
"Make with expertise in budgeting, risk management, Scrum.",1,3,3,3,3,Introverted,Project Manager
"Research officer, trade union with expertise in cloud computing, APIs, Python.",4,4,4,4,3,Openness,Software Engineer
"Dealer with expertise in statistics, predictive analytics, data mining.",3,2,1,1,3,Openness,Data Scientist
"Oceanographer with expertise in wireframing, branding, Adobe Creative Suite.",1,1,2,1,1,Creative,Graphic Designer
"Physiological scientist with expertise in SEO, customer engagement, campaigns.",2,3,4,1,2,Extraverted,Marketing Manager
"Administrator, education with expertise in penetration testing, network security, firewall.",3,2,1,4,2,Analytical,Cybersecurity Analyst
"Communications engineer with expertise in financial models, forecasting, Excel.",2,1,1,3,3,Analytical,Financial Analyst
"Agricultural consultant with expertise in firewall, risk assessment, penetration testing.",1,2,4,3,2,Analytical,Cybersecurity Analyst
